Contig,Source,Locus,Number of Genes (before filtering)
CM020081.2,Waterfowl/Mute_Swan/bCygOlo1_pri,IGL,43
WNMJ02001716.1,Waterfowl/Mute_Swan/bCygOlo1_alt,IGL,42
OZ009996.1,Waterfowl/Northern_Pintail/bAnaAcu1_pri,IGH,219
OZ009980.1,Waterfowl/Northern_Pintail/bAnaAcu1_pri,IGL,104
CAWVPT010001860.1,Waterfowl/Northern_Pintail/bAnaAcu1_alt,IGH,78
CAWVPT010000992.1,Waterfowl/Northern_Pintail/bAnaAcu1_alt,IGL,90
OZ246744.1,Waterfowl/Canada_Goose/bBraCan1_pri,IGH,69
OZ246728.1,Waterfowl/Canada_Goose/bBraCan1_pri,IGL,46
CBDDMW010004221.1,Waterfowl/Canada_Goose/bBraCan1_alt,IGH,83
CBDDMW010000024.1,Waterfowl/Canada_Goose/bBraCan1_alt,IGL,33
CM079393.1,Waterfowl/Swan_Goose/bAnsCyg1_pri,IGL,33
OZ035921.1,Waterfowl/PinkFooted_Goose/bAnsBra1_pri,IGH,81
OZ035904.1,Waterfowl/PinkFooted_Goose/bAnsBra1_pri,IGL,35
CAXIUF010002715.1,Waterfowl/PinkFooted_Goose/bAnsBra1_alt,IGH,65
CAXIUF010000103.1,Waterfowl/PinkFooted_Goose/bAnsBra1_alt,IGL,29
OZ124291.1,Waterfowl/Domestic_Goose/bAnsAns1_pri,IGH,63
OZ124275.1,Waterfowl/Domestic_Goose/bAnsAns1_pri,IGL,36
OZ060866.1,Waterfowl/Common_Goldeneye/bBucCla1_pri,IGH,141
OZ060852.1,Waterfowl/Common_Goldeneye/bBucCla1_pri,IGL,62
CAXKXT010000777.1,Waterfowl/Common_Goldeneye/bBucCla1_alt,IGH,203
CAXKXT010000827.1,Waterfowl/Common_Goldeneye/bBucCla1_alt,IGL,78
OZ022460.1,Waterfowl/LongTailed_Duck/bClaHye2_pri,IGH,75
OZ022442.1,Waterfowl/LongTailed_Duck/bClaHye2_pri,IGL,61
CAXDIQ010001802.1,Waterfowl/LongTailed_Duck/bClaHye2_alt,IGH,86
OZ223826.1,Waterfowl/Tundra_Swan/bCygCol1_pri,IGH,63
OZ223811.1,Waterfowl/Tundra_Swan/bCygCol1_pri,IGL,33
CBCUAL010000031.1,Waterfowl/Tundra_Swan/bCygCol1_alt,IGH,63
CBCUAL010000016.1,Waterfowl/Tundra_Swan/bCygCol1_alt,IGL,33
CM072133.1,Waterfowl/Brazilian_Merganser/bMerOct1_alt,IGH,65
CM072115.1,Waterfowl/Brazilian_Merganser/bMerOct1_alt,IGL,57
CM072316.1,Waterfowl/Brazilian_Merganser/bMerOct1_pri,IGH,65
CM072298.1,Waterfowl/Brazilian_Merganser/bMerOct1_pri,IGL,68
JANXIN010000208.1,Woodpeckers/Acorn_Woodpecker/bMelFor1_pri,IGH,87
JANXIN010000060.1,Woodpeckers/Acorn_Woodpecker/bMelFor1_pri,IGL,35
JANXIO010000067.1,Woodpeckers/Acorn_Woodpecker/bMelFor1_alt,IGL,40
JACNMV010000086.1,Woodpeckers/Downy_Woodpecker/bDryPub1_pri,IGH,2
CM026018.1,Woodpeckers/Downy_Woodpecker/bDryPub1_pri,IGL,18
JACNMW010000788.1,Woodpeckers/Downy_Woodpecker/bDryPub1_alt,IGL,17
JADCQK010000172.1,Woodpeckers/RedFronted_Tinkerbird/bPogPus1_pri,IGH,25
CM026805.1,Woodpeckers/RedFronted_Tinkerbird/bPogPus1_pri,IGL,13
JADCQL010001572.1,Woodpeckers/RedFronted_Tinkerbird/bPogPus1_alt,IGL,14
JAPMHX010001827.1,Eagles/Harpy_Eagle/bHarHar1_alt,IGH,51
JAPMHX010003450.1,Eagles/Harpy_Eagle/bHarHar1_alt,IGH,19
JAPMHX010004408.1,Eagles/Harpy_Eagle/bHarHar1_alt,IGH,28
JAPMHX010004918.1,Eagles/Harpy_Eagle/bHarHar1_alt,IGH,28
JBIYQY010000100.1,Eagles/Crested_Eagle/bMorGui1_alt,IGH,60
JAMOAT010000034.1,Falcons/Lanner_Falcon/bFalBia1_pri,IGH,15
JAMOAT010000338.1,Falcons/Lanner_Falcon/bFalBia1_pri,IGH,11
CATOBR010000105.1,Landfowl/Western_Capercaillie/bTetUro1_pri,IGH,23
CATOBR010000106.1,Landfowl/Western_Capercaillie/bTetUro1_pri,IGH,8
CATOBR010000129.1,Landfowl/Western_Capercaillie/bTetUro1_pri,IGH,5
CM022643.1,Parrots/Budgerigar/bMelUnd1_pri,IGL,20
CM054387.1,Parrots/BlueAndGold_Macaw/bAraAra1_pri,IGL,14
CM054248.1,Parrots/BlueAndGold_Macaw/bAraAra1_alt,IGL,13
WNMX01001785.1,Plovers/Common_Tern/bSteHir1_alt,IGH,91
WNMX01001798.1,Plovers/Common_Tern/bSteHir1_alt,IGH,75
WNMX01001911.1,Plovers/Common_Tern/bSteHir1_alt,IGH,265
CAWVQZ010002885.1,Plovers/Lesser_BlackBacked_Gull/bLarFus1_alt,IGH,161
CAWVQZ010004017.1,Plovers/Lesser_BlackBacked_Gull/bLarFus1_alt,IGH,45
CAWVQZ010000295.1,Plovers/Lesser_BlackBacked_Gull/bLarFus1_alt,IGL,46
CAWVQZ010003713.1,Plovers/Lesser_BlackBacked_Gull/bLarFus1_alt,IGL,12
JBIYRB010000311.1,Suboscines/Xingu_ScaleBacked_Antbird/bWilVid1_pri,IGH,163
JBIYRB010000385.1,Suboscines/Xingu_ScaleBacked_Antbird/bWilVid1_pri,IGH,101
JAKDEX010009733.1,Songbirds/Bells_Sparrow/bArtBel1_alt,IGH,70
JAKDEX010017564.1,Songbirds/Bells_Sparrow/bArtBel1_alt,IGH,45
JAKDEX010019776.1,Songbirds/Bells_Sparrow/bArtBel1_alt,IGH,53
JAKDEX010039873.1,Songbirds/Bells_Sparrow/bArtBel1_alt,IGH,39
JAKDEX010009286.1,Songbirds/Bells_Sparrow/bArtBel1_alt,IGL,7
JBHOIO010000231.1,Songbirds/House_Finch/AL_1_pri,IGH,109
JBHOIO010000540.1,Songbirds/House_Finch/AL_1_pri,IGH,67
JBHOIN010000179.1,Songbirds/House_Finch/AL_2_alt,IGH,68
JBHOIN010000418.1,Songbirds/House_Finch/AL_2_alt,IGH,118
JBHOIM010000163.1,Songbirds/House_Finch/AL_2_pri,IGH,69
JBHOIM010000474.1,Songbirds/House_Finch/AL_2_pri,IGH,121
JBHOJF010001683.1,Songbirds/House_Finch/CA_1_alt,IGH,37
JBHOJF010002801.1,Songbirds/House_Finch/CA_1_alt,IGH,15
JBHOJF010004206.1,Songbirds/House_Finch/CA_1_alt,IGH,10
JBHOJE010001713.1,Songbirds/House_Finch/CA_1_pri,IGH,35
JBHOJE010002938.1,Songbirds/House_Finch/CA_1_pri,IGH,16
JBHOJE010003360.1,Songbirds/House_Finch/CA_1_pri,IGH,43
JBHOJE010004752.1,Songbirds/House_Finch/CA_1_pri,IGH,10
JBHOJD010001637.1,Songbirds/House_Finch/CA_2_alt,IGH,34
JBHOJD010002872.1,Songbirds/House_Finch/CA_2_alt,IGH,42
JBHOJC010001747.1,Songbirds/House_Finch/CA_2_pri,IGH,34
JBHOJC010003158.1,Songbirds/House_Finch/CA_2_pri,IGH,42
JBHOJC010000035.1,Songbirds/House_Finch/CA_2_pri,IGL,10
JBHOJC010002086.1,Songbirds/House_Finch/CA_2_pri,IGL,12
JBHOIB010000323.1,Songbirds/House_Finch/MA_2_alt,IGH,79
JBHOIB010000341.1,Songbirds/House_Finch/MA_2_alt,IGH,112
JBHOIB010000556.1,Songbirds/House_Finch/MA_2_alt,IGH,66
JBHOIA010000362.1,Songbirds/House_Finch/MA_2_pri,IGH,80
JBHOIA010000386.1,Songbirds/House_Finch/MA_2_pri,IGH,112
JBHOIA010000709.1,Songbirds/House_Finch/MA_2_pri,IGH,62
JBHOJB010000359.1,Songbirds/House_Finch/NM_1_alt,IGH,125
JBHOJB010000537.1,Songbirds/House_Finch/NM_1_alt,IGH,55
JBHOJA010000376.1,Songbirds/House_Finch/NM_1_pri,IGH,125
JBHOJA010000625.1,Songbirds/House_Finch/NM_1_pri,IGH,57
JBHOIZ010000235.1,Songbirds/House_Finch/NM_2_alt,IGH,145
JBHOIZ010000295.1,Songbirds/House_Finch/NM_2_alt,IGH,147
JBHOIY010000238.1,Songbirds/House_Finch/NM_2_pri,IGH,145
JBHOIY010000297.1,Songbirds/House_Finch/NM_2_pri,IGH,147
JBHOIH010000421.1,Songbirds/House_Finch/NY_1_alt,IGH,102
JBHOIH010000507.1,Songbirds/House_Finch/NY_1_alt,IGH,76
JBHOIG010000451.1,Songbirds/House_Finch/NY_1_pri,IGH,102
JBHOIG010000583.1,Songbirds/House_Finch/NY_1_pri,IGH,76
JBHOIF010000041.1,Songbirds/House_Finch/NY_2_alt,IGH,99
JBHOIF010000091.1,Songbirds/House_Finch/NY_2_alt,IGH,267
JBHOIE010000039.1,Songbirds/House_Finch/NY_2_pri,IGH,99
JBHOIE010000105.1,Songbirds/House_Finch/NY_2_pri,IGH,272
JBHOIL010000173.1,Songbirds/House_Finch/OH_1_alt,IGH,53
JBHOIL010000217.1,Songbirds/House_Finch/OH_1_alt,IGH,74
JBHOIK010000177.1,Songbirds/House_Finch/OH_1_pri,IGH,53
JBHOIK010000222.1,Songbirds/House_Finch/OH_1_pri,IGH,73
JBHOIJ010000107.1,Songbirds/House_Finch/OH_2_alt,IGH,72
JBHOIJ010000257.1,Songbirds/House_Finch/OH_2_alt,IGH,265
JBHOII010000263.1,Songbirds/House_Finch/OH_2_pri,IGH,262
JBHOII010000280.1,Songbirds/House_Finch/OH_2_pri,IGH,224
JBHOIS010000850.1,Songbirds/House_Finch/WA_1_pri,IGH,35
JBHOIS010000861.1,Songbirds/House_Finch/WA_1_pri,IGH,40
JBHOIR010000407.1,Songbirds/House_Finch/WA_2_alt,IGH,120
JBHOIR010000414.1,Songbirds/House_Finch/WA_2_alt,IGH,212
JBHOIR010000532.1,Songbirds/House_Finch/WA_2_alt,IGH,65
JBHOIQ010000416.1,Songbirds/House_Finch/WA_2_pri,IGH,117
JBHOIQ010000426.1,Songbirds/House_Finch/WA_2_pri,IGH,206
JBHOIQ010000561.1,Songbirds/House_Finch/WA_2_pri,IGH,65
WHPP01000581.1,Songbirds/New_Caledonian_Crow/bCorMon1_alt,IGL,102
WHPP01000582.1,Songbirds/New_Caledonian_Crow/bCorMon1_alt,IGL,89
JAYKTR010003706.1,Songbirds/Seaside_Sparrow/bAmmMai1_alt,IGH,51
JAYKTR010003885.1,Songbirds/Seaside_Sparrow/bAmmMai1_alt,IGH,174
JALCYM010008801.1,Songbirds/Song_Sparrow2/bMelMel1_alt,IGH,35
JALCYM010011207.1,Songbirds/Song_Sparrow2/bMelMel1_alt,IGH,74
JALCYM010027209.1,Songbirds/Song_Sparrow2/bMelMel1_alt,IGH,48
JACSVZ010000385.1,Songbirds/Paradise_Crow/bLycPry6_pri,IGH,37
JACSVZ010000499.1,Songbirds/Paradise_Crow/bLycPry6_pri,IGH,27
CBDDMP010000014.1,Songbirds/SilverEye/bZosLat1_pri,IGH,394
OZ246496.1,Songbirds/SilverEye/bZosLat1_pri,IGH,191
OZ246505.1,Songbirds/SilverEye/bZosLat1_pri,IGH,133
JAYKKP010000244.1,Songbirds/Song_Sparrow/bMelMel2_pri,IGH,110
JAYKKP010000318.1,Songbirds/Song_Sparrow/bMelMel2_pri,IGH,132
JBKSIQ010000049.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20946_pri,IGL,10
JBKSIQ010000084.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20946_pri,IGL,10
JBKSIQ010000106.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20946_pri,IGL,46
JBKSHX010000545.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365327_pri,IGH,113
JBKSHX010000750.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365327_pri,IGH,114
JBKSHV010000527.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365337_pri,IGH,91
JBKSHV010000635.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365337_pri,IGH,37
JBKSHU010000374.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365338_pri,IGH,92
JBKSHU010000449.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365338_pri,IGH,114
JBKSHS010000094.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366487_pri,IGL,59
JBKSHS010000176.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366487_pri,IGL,12
JBKSHL010000186.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366499_pri,IGH,106
JBKSHL010000877.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366499_pri,IGH,36
JBRFQW010000239.1,Songbirds/Tawny_bellied_seedeater/bSpoHyp5,IGH,473
JBRFQW010000243.1,Songbirds/Tawny_bellied_seedeater/bSpoHyp5,IGH,126
h1tg001098l,Songbirds/Large_ground_finch/Magnirostris_pri,IGH,36
h1tg001723l,Songbirds/Large_ground_finch/Magnirostris_pri,IGH,49
h1tg001081l,Songbirds/Small_ground_finch/Fuliginosa_pri,IGH,64
h1tg001441l,Songbirds/Small_ground_finch/Fuliginosa_pri,IGH,37
h1tg001645l,Songbirds/Small_ground_finch/Fuliginosa_pri,IGH,59
CADCXG010000239.1,Songbirds/Small_tree_finch/GCA_902806625_1,IGH,105
CADCXG010000263.1,Songbirds/Small_tree_finch/GCA_902806625_1,IGH,53
CATIVF010003401.1,Cormorants/European_Shag/bGulAri2_alt,IGL,4
CATIVF010009640.1,Cormorants/European_Shag/bGulAri2_alt,IGL,12
JAKCOY010000174.1,Cranes/Black_Rail/bLatJam1_alt,IGH,347
JAKCOY010000404.1,Cranes/Black_Rail/bLatJam1_alt,IGH,188
JAKCOY010000567.1,Cranes/Black_Rail/bLatJam1_alt,IGH,177
JAKCOX010000087.1,Cranes/Black_Rail/bLatJam1_pri,IGH,329
JAKCOX010000105.1,Cranes/Black_Rail/bLatJam1_pri,IGH,190
JAKCOX010000168.1,Cranes/Black_Rail/bLatJam1_pri,IGH,111
JAGIYU010000550.1,MiscBirds/Common_Cuckoo/bCucCan1_alt,IGH,8
JAGIYU010000994.1,MiscBirds/Common_Cuckoo/bCucCan1_alt,IGH,8
CM036649.1,MiscBirds/Surucua_Trogon/bTroSur1_pri,IGH,181
JAJGST010000065.1,MiscBirds/Surucua_Trogon/bTroSur1_pri,IGH,64
JAQJZI010000609.1,MiscBirds/Tawny_Frogmouth/bPodStr1_alt,IGL,9
JAQJZI010000674.1,MiscBirds/Tawny_Frogmouth/bPodStr1_alt,IGL,7
JAQJZI010000748.1,MiscBirds/Tawny_Frogmouth/bPodStr1_alt,IGL,9
WNML01003301.1,MiscBirds/American_Flamingo/bPhoRub2_alt,IGH,37
WNML01003314.1,MiscBirds/American_Flamingo/bPhoRub2_alt,IGH,60
WNMV01002981.1,MiscBirds/Carmine_BeeEater/bMerNub1_alt,IGH,15
WNMV01003232.1,MiscBirds/Carmine_BeeEater/bMerNub1_alt,IGH,33
WNMV01003258.1,MiscBirds/Carmine_BeeEater/bMerNub1_alt,IGH,36
JASWHT010000551.1,Owls/Spotted_Owl/bStriOcc1_pri,IGH,39
JASWHT010000583.1,Owls/Spotted_Owl/bStriOcc1_pri,IGH,39
JASWHU010000617.1,Owls/Spotted_Owl/bStriOcc1_alt,IGH,39
JASWHU010000646.1,Owls/Spotted_Owl/bStriOcc1_alt,IGH,39
CM020316.1,Waterfowl/Tufted_Duck/bAytFul2_pri,IGL,58
OZ124232.1,Waterfowl/Common_Pochard/bAytFer1_pri,IGL,71
OZ223636.1,Waterfowl/Greater_Scaup/bAytMar2_pri,IGL,67
OZ037808.1,Waterfowl/RedCrested_Pochard/bNetRuf1_pri,IGL,70
OZ076993.1,Waterfowl/Mallard/bAnaPla2_pri,IGL,77
WNMJ02005474.1,Waterfowl/Mute_Swan/bCygOlo1_alt,IGH,70
WNMJ02005475.1,Waterfowl/Mute_Swan/bCygOlo1_alt,IGH,34
WNMJ02005493.1,Waterfowl/Mute_Swan/bCygOlo1_alt,IGH,17
WNMJ02005539.1,Waterfowl/Mute_Swan/bCygOlo1_alt,IGH,47
CM079415.1,Waterfowl/Swan_Goose/bAnsCyg1_pri,IGH,65
JBECYW010000050.1,Waterfowl/Swan_Goose/bAnsCyg1_pri,IGH,65
CAXDIQ010000802.1,Waterfowl/LongTailed_Duck/bClaHye2_alt,IGL,3
JANXIO010000235.1,Woodpeckers/Acorn_Woodpecker/bMelFor1_alt,IGH,80
CM137354.1,Eagles/Philippine_eagle/bPitJef1_pri,IGH,67
CM137332.1,Eagles/Philippine_eagle/bPitJef1_pri,IGL,59
JBKSKC010000533.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365336_alt,IGH,110
JBKSKC010000120.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365336_alt,IGL,51
JBKSKB010000408.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365336_pri,IGH,72
JBKSKB010000053.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365336_pri,IGL,51
OZ187178.1,Doves/Eurasian_CollaredDove/bStrDea1_pri,TRA,37
OZ187156.1,Doves/Eurasian_CollaredDove/bStrDea1_pri,TRB,8
OZ187157.1,Doves/Eurasian_CollaredDove/bStrDea1_pri,TRG,6
OZ187178.1,Doves/Eurasian_CollaredDove/bStrDea1_pri,TRD,10
OY720083.1,Doves/Pink_Pigeon/bNesMay2_pri,TRA,49
OY720056.1,Doves/Pink_Pigeon/bNesMay2_pri,TRB,3
OY720057.1,Doves/Pink_Pigeon/bNesMay2_pri,TRG,22
OY720083.1,Doves/Pink_Pigeon/bNesMay2_pri,TRD,10
CAUJAQ010000298.1,Doves/Pink_Pigeon/bNesMay2_alt,TRA,53
CAUJAQ010000291.1,Doves/Pink_Pigeon/bNesMay2_alt,TRB,3
CAUJAQ010000298.1,Doves/Pink_Pigeon/bNesMay2_alt,TRD,16
CM069729.1,Doves/Nicobar_Pigeon/bCalNic1_pri,TRA,30
CM069706.1,Doves/Nicobar_Pigeon/bCalNic1_pri,TRB,3
CM069707.1,Doves/Nicobar_Pigeon/bCalNic1_pri,TRG,21
CM069729.1,Doves/Nicobar_Pigeon/bCalNic1_pri,TRD,7
CM069649.1,Doves/Nicobar_Pigeon/bCalNic1_alt,TRA,32
CM069626.1,Doves/Nicobar_Pigeon/bCalNic1_alt,TRB,5
CM069627.1,Doves/Nicobar_Pigeon/bCalNic1_alt,TRG,20
CM069649.1,Doves/Nicobar_Pigeon/bCalNic1_alt,TRD,7
CM073075.2,Doves/BandTailed_Pigeon/bPatFas1_alt,TRA,30
CM073054.2,Doves/BandTailed_Pigeon/bPatFas1_alt,TRB,4
CM073055.2,Doves/BandTailed_Pigeon/bPatFas1_alt,TRG,23
CM073075.2,Doves/BandTailed_Pigeon/bPatFas1_alt,TRD,8
CM073026.2,Doves/BandTailed_Pigeon/bPatFas1_pri,TRA,79
CM073005.2,Doves/BandTailed_Pigeon/bPatFas1_pri,TRB,4
CM073006.2,Doves/BandTailed_Pigeon/bPatFas1_pri,TRG,23
CM073026.2,Doves/BandTailed_Pigeon/bPatFas1_pri,TRD,7
CM070371.1,Doves/Rock_Dove/bColLiv1_pri,TRA,52
CM070350.1,Doves/Rock_Dove/bColLiv1_pri,TRG,31
CM070371.1,Doves/Rock_Dove/bColLiv1_pri,TRD,5
CM070945.1,Doves/Rock_Dove/bColLiv1_alt,TRA,62
CM070923.1,Doves/Rock_Dove/bColLiv1_alt,TRB,3
CM070924.1,Doves/Rock_Dove/bColLiv1_alt,TRG,23
CM070945.1,Doves/Rock_Dove/bColLiv1_alt,TRD,8
LR594576.2,Doves/European_Turtle_Dove/bStrTur1_pri,TRA,34
LR594552.1,Doves/European_Turtle_Dove/bStrTur1_pri,TRG,27
CABFKB020002270.1,Doves/European_Turtle_Dove/bStrTur1_alt,TRA,11
CABFKB020002877.1,Doves/European_Turtle_Dove/bStrTur1_alt,TRB,2
CABFKB020002270.1,Doves/European_Turtle_Dove/bStrTur1_alt,TRD,2
LR606187.1,Eagles/European_Golden_Eagle/bAquChr1_pri,TRB,6
LR606183.1,Eagles/European_Golden_Eagle/bAquChr1_pri,TRG,5
LR606188.1,Eagles/European_Golden_Eagle/bAquChr1_pri,TRD,10
CABFWM020000829.1,Eagles/European_Golden_Eagle/bAquChr1_alt,TRB,3
CABFWM020001643.1,Eagles/European_Golden_Eagle/bAquChr1_alt,TRG,5
OX381643.1,Eagles/WhiteTailed_Eagle/bHalAlb1_pri,TRA,22
OX381642.1,Eagles/WhiteTailed_Eagle/bHalAlb1_pri,TRB,6
OX381637.1,Eagles/WhiteTailed_Eagle/bHalAlb1_pri,TRG,5
OX381643.1,Eagles/WhiteTailed_Eagle/bHalAlb1_pri,TRD,7
CANHNM010000823.1,Eagles/WhiteTailed_Eagle/bHalAlb1_alt,TRA,20
CANHNM010002309.1,Eagles/WhiteTailed_Eagle/bHalAlb1_alt,TRB,1
CANHNM010000823.1,Eagles/WhiteTailed_Eagle/bHalAlb1_alt,TRD,6
CM048717.1,Eagles/Harpy_Eagle/bHarHar1_pri,TRA,35
CM048721.1,Eagles/Harpy_Eagle/bHarHar1_pri,TRB,4
CM048714.1,Eagles/Harpy_Eagle/bHarHar1_pri,TRG,5
CM048717.1,Eagles/Harpy_Eagle/bHarHar1_pri,TRD,11
JAPMHX010000588.1,Eagles/Harpy_Eagle/bHarHar1_alt,TRB,6
JAPMHX010000189.1,Eagles/Harpy_Eagle/bHarHar1_alt,TRG,5
CM098350.1,Eagles/Crested_Eagle/bMorGui1_pri,TRA,34
CM098358.1,Eagles/Crested_Eagle/bMorGui1_pri,TRB,4
CM098352.1,Eagles/Crested_Eagle/bMorGui1_pri,TRG,5
CM098350.1,Eagles/Crested_Eagle/bMorGui1_pri,TRD,17
CM098404.1,Eagles/Crested_Eagle/bMorGui1_alt,TRA,24
CM098412.1,Eagles/Crested_Eagle/bMorGui1_alt,TRB,4
CM098406.1,Eagles/Crested_Eagle/bMorGui1_alt,TRG,5
CM098404.1,Eagles/Crested_Eagle/bMorGui1_alt,TRD,9
OV839365.1,Eagles/Northern_Goshawk/bAccGen1_pri,TRA,15
OV839382.1,Eagles/Northern_Goshawk/bAccGen1_pri,TRB,6
OV839375.1,Eagles/Northern_Goshawk/bAccGen1_pri,TRG,4
OV839365.1,Eagles/Northern_Goshawk/bAccGen1_pri,TRD,13
CAKNBJ010003067.1,Eagles/Northern_Goshawk/bAccGen1_alt,TRB,1
CAKNBJ010001146.1,Eagles/Northern_Goshawk/bAccGen1_alt,TRG,4
JAQMCN010000759.1,Eagles/Bearded_Vulture/bGypBar2_alt,TRA,14
JAQMCN010002273.1,Eagles/Bearded_Vulture/bGypBar2_alt,TRB,1
JAQMCN010000394.1,Eagles/Bearded_Vulture/bGypBar2_alt,TRG,5
JAQMCN010001522.1,Eagles/Bearded_Vulture/bGypBar2_alt,TRD,10
CM051542.1,Eagles/Bearded_Vulture/bGypBar2_pri,TRA,21
CM051541.1,Eagles/Bearded_Vulture/bGypBar2_pri,TRB,4
CM051533.1,Eagles/Bearded_Vulture/bGypBar2_pri,TRG,5
CM051542.1,Eagles/Bearded_Vulture/bGypBar2_pri,TRD,6
OZ076928.1,Eagles/Common_Buzzard/bButBut1_pri,TRA,29
OZ076927.1,Eagles/Common_Buzzard/bButBut1_pri,TRB,6
OZ076921.1,Eagles/Common_Buzzard/bButBut1_pri,TRG,5
OZ076928.1,Eagles/Common_Buzzard/bButBut1_pri,TRD,8
JAUIRP010000009.1,Eagles/Golden_Eagle/bAquChr2_pri,TRA,12
JAUIRP010000008.1,Eagles/Golden_Eagle/bAquChr2_pri,TRB,6
JAUIRP010000004.1,Eagles/Golden_Eagle/bAquChr2_pri,TRG,5
JAUIRP010000009.1,Eagles/Golden_Eagle/bAquChr2_pri,TRD,12
JAUIRQ010000009.1,Eagles/Golden_Eagle/bAquChr2_alt,TRA,32
JAUIRQ010000008.1,Eagles/Golden_Eagle/bAquChr2_alt,TRB,8
JAUIRQ010000005.1,Eagles/Golden_Eagle/bAquChr2_alt,TRG,5
JAUIRQ010000009.1,Eagles/Golden_Eagle/bAquChr2_alt,TRD,11
CM137331.1,Eagles/Philippine_eagle/bPitJef1_pri,TRA,54
CM137330.1,Eagles/Philippine_eagle/bPitJef1_pri,TRB,4
CM137326.1,Eagles/Philippine_eagle/bPitJef1_pri,TRG,5
CM137331.1,Eagles/Philippine_eagle/bPitJef1_pri,TRD,13
CM042633.1,Falcons/Peregrine_Falcon/bFalPer1_pri,TRA,33
CM042634.1,Falcons/Peregrine_Falcon/bFalPer1_pri,TRB,5
CM042633.1,Falcons/Peregrine_Falcon/bFalPer1_pri,TRG,4
CM042646.1,Falcons/Peregrine_Falcon/bFalPer1_pri,TRD,4
JAMOAS010000603.1,Falcons/Peregrine_Falcon/bFalPer1_alt,TRA,14
JAMOAS010000069.1,Falcons/Peregrine_Falcon/bFalPer1_alt,TRG,6
JAMOAS010001596.1,Falcons/Peregrine_Falcon/bFalPer1_alt,TRD,4
CM026669.1,Falcons/Gyrfalcon/bFalRus1_pri,TRA,26
CM026670.1,Falcons/Gyrfalcon/bFalRus1_pri,TRB,5
CM026669.1,Falcons/Gyrfalcon/bFalRus1_pri,TRG,4
CM026683.1,Falcons/Gyrfalcon/bFalRus1_pri,TRD,6
JADCQP010005665.1,Falcons/Gyrfalcon/bFalRus1_alt,TRB,2
JADCQP010006810.1,Falcons/Gyrfalcon/bFalRus1_alt,TRG,4
JADCQP010007654.1,Falcons/Gyrfalcon/bFalRus1_alt,TRD,4
JAMOAU010000438.1,Falcons/Lanner_Falcon/bFalBia1_alt,TRA,26
JAMOAU010000468.1,Falcons/Lanner_Falcon/bFalBia1_alt,TRG,6
JAMOAU010002172.1,Falcons/Lanner_Falcon/bFalBia1_alt,TRD,5
CM042608.1,Falcons/Lanner_Falcon/bFalBia1_pri,TRA,37
CM042609.1,Falcons/Lanner_Falcon/bFalBia1_pri,TRB,5
CM042608.1,Falcons/Lanner_Falcon/bFalBia1_pri,TRG,6
CM042621.1,Falcons/Lanner_Falcon/bFalBia1_pri,TRD,4
CM042452.1,Falcons/Saker_Falcon/bFalChe1_pri,TRA,29
CM042453.1,Falcons/Saker_Falcon/bFalChe1_pri,TRB,5
CM042452.1,Falcons/Saker_Falcon/bFalChe1_pri,TRG,6
CM042468.1,Falcons/Saker_Falcon/bFalChe1_pri,TRD,5
JAMOAM010000212.1,Falcons/Saker_Falcon/bFalChe1_alt,TRA,30
JAMOAM010000883.1,Falcons/Saker_Falcon/bFalChe1_alt,TRG,6
JAMOAM010001920.1,Falcons/Saker_Falcon/bFalChe1_alt,TRD,2
JAGFVT010000009.1,Falcons/Lesser_Kestrel/bFalNau1_pri,TRA,27
JAGFVT010000006.1,Falcons/Lesser_Kestrel/bFalNau1_pri,TRB,5
JAGFVT010000009.1,Falcons/Lesser_Kestrel/bFalNau1_pri,TRG,11
CM030149.1,Falcons/Lesser_Kestrel/bFalNau1_alt,TRB,4
CM030148.1,Falcons/Lesser_Kestrel/bFalNau1_alt,TRG,11
OY723436.1,Falcons/Mauritius_Kestrel/bFalPun1_pri,TRA,35
OY723438.1,Falcons/Mauritius_Kestrel/bFalPun1_pri,TRB,3
OY723436.1,Falcons/Mauritius_Kestrel/bFalPun1_pri,TRG,6
CAUJKS010000066.1,Falcons/Mauritius_Kestrel/bFalPun1_alt,TRA,28
CAUJKS010000660.1,Falcons/Mauritius_Kestrel/bFalPun1_alt,TRG,6
